YEAR,DATE
1921,March 20
1922,April 7
1923,April 9
1924,April 13
1925,March 27
1926,April 11
1927,March 20
1928,April 8
1929,March 31
1930,April 1
1931,April 11
1932,April 15
1933,April 9
1934,April 15
1935,April 1
1936,April 7
1937,April 14
1938,March 25
1939,March 30
1940,April 13
1941,April 12
1942,April 5
1943,April 4
1944,April 9
1945,March 20
1946,March 23
1947,April 12
1948,March 28
1949,March 29
1950,April 9
1951,April 6
1952,April 9
1953,March 27
1954,April 6
1955,April 2
1956,April 6
1957,April 8
1958,April 18 
1959,April 6
1960,April 14
1961,April 2
1962,April 7
1963,April 3
1964,April 11
1965,April 15
1966,April 5
1967,April 6
1968,March 30
1969,April 9
1970,April 16
1971,April 8
1972,April 11
1973,April 11
1974,April 3
1975,April 3
1976,March 23
1977,March 26
1978,April 12
1979,April 2
1980,April 6
1981,April 3
1982,April 7
1983,April 7
1984,April 3
1985,April 7
1986,April 2
1987,March 28
1988,March 31
1989,March 29
1990,March 15 
1991,March 29
1992,April 7
1993,April 11
1994,April 5
1995,April 2
1996,April 4
1997,March 26
1998,March 27
1999,April 5
2000,March 17
2001,April 6
2002,April 2
2003,April 2
2004,March 31
2005,April 9
2006,March 30
2007,April 1
2008,March 29
2009,April 1
2010,March 31
2011,March 29
2012,March 20
2013,April 9
2014,April 10
2015,April 10
2016,March 25
2017,March 25
2018,April 5
